"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Lakeland Highlands","Lakeland Highlands","FL","Florida","12105","Polk","27.9572","-81.9496","","","885.7","polygon","False","America/New_York","33813","1840029047"
"Kinard","Kinard","FL","Florida","12013","Calhoun","30.2808","-85.2638","","","8.9","point","False","America/Chicago","32449","1840028883"
"Palm Beach Shores","Palm Beach Shores","FL","Florida","12099","Palm Beach","26.7773","-80.0365","1237","1237","1756","polygon","True","America/New_York","33404","1840017268"
"Graceville","Graceville","FL","Florida","12063","Jackson","30.9609","-85.5125","3920.0","2212","198","polygon","True","America/Chicago","32440","1840013906"
"West Little River","West Little River","FL","Florida","12086","Miami-Dade","25.8570","-80.2366","","","2875.4","polygon","False","America/New_York","33147 33150","1840029096"
"Oakland","Oakland","FL","Florida","12095","Orange","28.5538","-81.6335","2887","2887","530","polygon","True","America/New_York","34760 34787 34740","1840015097"
"Gateway","Gateway","FL","Florida","12071","Lee","26.5809","-81.7460","","","1060.6","polygon","False","America/New_York","33913","1840014213"
"The Crossings","The Crossings","FL","Florida","12086","Miami-Dade","25.6708","-80.4018","","","2225.3","polygon","False","America/New_York","33186","1840029008"
"Albany","Albany","WY","Wyoming","56001","Albany","41.1868","-106.1255","","","3.9","polygon","False","America/Denver","82070","1840017461"
"Wilson","Wilson","WY","Wyoming","56039","Teton","43.4860","-110.8937","","","22.4","polygon","False","America/Denver","83014","1840018612"
"Natrona","Natrona","WY","Wyoming","56025","Natrona","43.0297","-106.8092","","","1.7","point","False","America/Denver","82646","1840038376"
"Greybull","Greybull","WY","Wyoming","56003","Big Horn","44.4888","-108.0592","1872","1872","382","polygon","True","America/Denver","82426","1840021241"
"Frontier","Frontier","WY","Wyoming","56023","Lincoln","41.8141","-110.5371","","","21.5","point","False","America/Denver","83121","1840038328"
"Worland","Worland","WY","Wyoming","56043","Washakie","44.0026","-107.9543","5294.0","5316","450","polygon","True","America/Denver","82401","1840021266"
"Brookhurst","Brookhurst","WY","Wyoming","56025","Natrona","42.8618","-106.2272","","","3.7","polygon","False","America/Denver","82636","1840017446"
"Reliance","Reliance","WY","Wyoming","56037","Sweetwater","41.6682","-109.1977","","","221.5","polygon","False","America/Denver","82943 82901","1840018692"
